ID_Word	ID_Lemma	Lemma
35207	69816	accesibilidad
35222	69831	alimento
35227	69836	
35229	69838	
35231	69840	
35197	69806	
35223	69832	
35206	69815	de
35228	69837	de+el
35209	69818	ducha
35200	69809	en
35220	69829	en
35202	69811	entrada
35208	69817	faltar
35233	69842	
35196	69805	el
35201	69810	el
35226	69835	el
35232	69841	el
35218	69827	el
35194	69803	el
35203	69812	el
35210	69819	el
35214	69823	el
35216	69825	el
35221	69830	el
35224	69833	el
35212	69821	mas
35213	69822	mesero
35230	69839	mi
35219	69828	opción
35195	69804	precio
35204	69813	precio
35211	69820	precio
35215	69824	precio
35217	69826	precio
35225	69834	precio
35205	69814	ruta
35198	69807	vario
35199	69808	vigilante
