ID_Word	ID_Lemma	Lemma
35319	69928	agua
35321	69930	agua
35325	69934	agua
35328	69937	agua
35335	69944	agua
35349	69958	agua
35351	69960	agua
35365	69974	agua
35376	69985	agua
35390	69999	agua
35395	70004	agua
35397	70006	agua
35404	70013	agua
35406	70015	agua
35418	70027	agua
35431	70040	agua
35452	70061	agua
35463	70072	agua
35493	70102	agua
35495	70104	agua
35513	70122	agua
35519	70128	agua
35524	70133	agua
35367	69976	ambientar
35433	70042	ambientar
35357	69966	
35322	69931	calentar
35320	69929	cascada
35332	69941	cascada
35336	69945	cascada
35339	69948	cascada
35344	69953	cascada
35346	69955	cascada
35354	69963	cascada
35360	69969	cascada
35378	69987	cascada
35383	69992	cascada
35387	69996	cascada
35412	70021	cascada
35415	70024	cascada
35420	70029	cascada
35424	70033	cascada
35429	70038	cascada
35455	70064	cascada
35458	70067	cascada
35465	70074	cascada
35467	70076	cascada
35490	70099	cascada
35504	70113	cascada
35506	70115	cascada
35508	70117	cascada
35510	70119	cascada
35522	70131	cascada
35479	70088	comedir
35450	70059	conformidad
35324	69933	el
35327	69936	el
35334	69943	el
35340	69949	el
35348	69957	el
35350	69959	el
35362	69971	el
35364	69973	el
35366	69975	el
35368	69977	el
35370	69979	el
35375	69984	el
35380	69989	el
35389	69998	el
35394	70003	el
35396	70005	el
35403	70012	el
35405	70014	el
35409	70018	el
35417	70026	el
35425	70034	el
35430	70039	el
35432	70041	el
35439	70048	el
35442	70051	el
35451	70060	el
35462	70071	el
35474	70083	el
35484	70093	el
35492	70101	el
35494	70103	el
35497	70106	el
35501	70110	el
35512	70121	el
35518	70127	el
35523	70132	el
35329	69938	el
35345	69954	el
35353	69962	el
35356	69965	el
35359	69968	el
35377	69986	el
35382	69991	el
35386	69995	el
35411	70020	el
35414	70023	el
35419	70028	el
35423	70032	el
35428	70037	el
35454	70063	el
35457	70066	el
35464	70073	el
35466	70075	el
35469	70078	el
35471	70080	el
35478	70087	el
35489	70098	el
35503	70112	el
35507	70116	el
35509	70118	el
35521	70130	el
35505	70114	el
35330	69939	naturaleza
35352	69961	naturaleza
35470	70079	naturaleza
35318	69927	paisaje
35338	69947	paisaje
35341	69950	paisaje
35363	69972	paisaje
35369	69978	paisaje
35371	69980	paisaje
35381	69990	paisaje
35410	70019	paisaje
35426	70035	paisaje
35440	70049	paisaje
35443	70052	paisaje
35475	70084	paisaje
35485	70094	paisaje
35498	70107	paisaje
35502	70111	paisaje
35337	69946	piscina
35472	70081	
35323	69932	todo
35326	69935	todo
35331	69940	todo
35333	69942	todo
35342	69951	todo
35343	69952	todo
35347	69956	todo
35355	69964	todo
35358	69967	todo
35361	69970	todo
35372	69981	todo
35373	69982	todo
35374	69983	todo
35379	69988	todo
35384	69993	todo
35385	69994	todo
35388	69997	todo
35391	70000	todo
35392	70001	todo
35393	70002	todo
35398	70007	todo
35399	70008	todo
35400	70009	todo
35401	70010	todo
35402	70011	todo
35407	70016	todo
35408	70017	todo
35413	70022	todo
35416	70025	todo
35421	70030	todo
35422	70031	todo
35427	70036	todo
35434	70043	todo
35435	70044	todo
35436	70045	todo
35437	70046	todo
35438	70047	todo
35441	70050	todo
35444	70053	todo
35445	70054	todo
35446	70055	todo
35447	70056	todo
35448	70057	todo
35449	70058	todo
35453	70062	todo
35456	70065	todo
35459	70068	todo
35460	70069	todo
35461	70070	todo
35468	70077	todo
35473	70082	todo
35476	70085	todo
35477	70086	todo
35480	70089	todo
35481	70090	todo
35482	70091	todo
35483	70092	todo
35486	70095	todo
35487	70096	todo
35488	70097	todo
35491	70100	todo
35496	70105	todo
35499	70108	todo
35500	70109	todo
35511	70120	todo
35514	70123	todo
35515	70124	todo
35516	70125	todo
35517	70126	todo
35520	70129	todo
35525	70134	todo
35526	70135	todo
35527	70136	todo
35528	70137	todo
